code,name,country,exchange,currency,type,market
PATI3,Panatlântica S.A,Brazil,SA,BRL,Common Stock,sa_stocks
PATI4,Panatlântica S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
PATL11,Patria Logistica Fundo De Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
PAYC,Paycom,Information Technology,NYSE,USD,Common Stock,us_500
PAYX,Paychex Inc.,Information Technology,NYSE,USD,Common Stock,us_500
PAYX,"Paychex, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
PBCT,People's United Financial,Financials,NYSE,USD,Common Stock,us_500
PCAR,Paccar,Industrials,NYSE,USD,Common Stock,us_500
PCAR,PACCAR Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
PCAR3,Companhia Brasileira de Distribuição,Brazil,SA,BRL,Common Stock,sa_stocks
PDD,Pinduoduo Inc. American Depositary Shares,US,Nasdaq,USD,Define Stock,us_tech_100
PDGR3,PDG Realty S.A. Empreendimentos e Participações,Brazil,SA,BRL,Common Stock,sa_stocks
PEAK,Healthpeak Properties,Real Estate,NYSE,USD,Common Stock,us_500
PEG,Public Service Enterprise Group (PSEG),Utilities,NYSE,USD,Common Stock,us_500
PEP,PepsiCo Inc.,Consumer Staples,NYSE,USD,Common Stock,us_500
PEP,"PepsiCo, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
PEPB34,"PepsiCo, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
PETR3,Petróleo Brasileiro S.A. - Petrobras,Brazil,SA,BRL,Common Stock,sa_stocks
PETR4,Petróleo Brasileiro S.A. - Petrobras,Brazil,SA,BRL,Preferred Stock,sa_stocks
PETZ3,Pet Center Comércio e Participações S.A,Brazil,SA,BRL,Common Stock,sa_stocks
PFE,Pfizer Inc.,Health Care,NYSE,USD,Common Stock,us_500
PFG,Principal Financial Group,Financials,NYSE,USD,Common Stock,us_500
PFIN11,Perfin Apollo Energia Fundo De Investimento Em Participacoes Em Infraestrutura,Brazil,SA,BRL,ETF,sa_etf
PFIZ34,Pfizer Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
PFRM3,Profarma Distribuidora de Produtos Farmacêuticos S.A,Brazil,SA,BRL,Common Stock,sa_stocks
PG,Procter & Gamble,Consumer Staples,NYSE,USD,Common Stock,us_500
PGMN3,Empreendimentos Pague Menos S.A,Brazil,SA,BRL,Common Stock,sa_stocks
PGR,Progressive Corp.,Financials,NYSE,USD,Common Stock,us_500
PH,Parker-Hannifin,Industrials,NYSE,USD,Common Stock,us_500
